Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Vessels;Pattern;Turbines;Months
CT_Bi_Ha_36;27445392,800000;0,159000;92,932456;93,011436;3543586,133333;4934204,666667;3160000,000000;1458633,333333;315571,333333;CT;Bi;Ha;36;
CT_Bi_Ra_18;6196198,000000;0,042000;95,407674;95,425474;2272352,533333;1388189,333333;820000,000000;337066,666667;231122,666667;CT;Bi;Ra;18;
CT_Bi_Ra_24;9405403,600000;0,071000;95,214231;95,306178;2274041,000000;1878796,000000;1136250,000000;489200,000000;253346,000000;CT;Bi;Ra;24;
CT_Bi_Ra_36;19522696,400000;0,165000;92,971223;93,037155;3824931,333333;2175846,000000;1305000,000000;617500,000000;253346,000000;CT;Bi;Ra;36;
CT_Co_Ba_18;8187902,200000;0,041000;94,757542;94,753517;3131365,600000;1835812,666667;960000,000000;622466,666667;253346,000000;CT;Co;Ba;18;
CT_Co_Ba_24;14397349,000000;0,085000;92,482452;92,537884;4192268,200000;2418713,500000;1395000,000000;753700,000000;270013,500000;CT;Co;Ba;24;
CT_Co_Ba_36;22761600,200000;0,143000;91,966941;92,017922;4775930,400000;2213513,666667;1210000,000000;730166,666667;273347,000000;CT;Co;Ba;36;
CT_Co_Eq_18;9881697,000000;0,041000;92,883872;92,886727;4144720,000000;1615767,333333;890000,000000;490200,000000;235567,333333;CT;Co;Eq;18;
CT_Co_Eq_24;11787565,000000;0,083000;93,999798;93,966401;3291042,800000;1953178,500000;1083750,000000;632750,000000;236678,500000;CT;Co;Eq;24;
CT_Co_Eq_36;22323862,400000;0,152000;91,504298;91,535393;4723816,133333;2213291,333333;1200000,000000;742166,666667;271124,666667;CT;Co;Eq;36;
CT_Co_Ha_18;10082116,000000;0,054000;92,360725;92,376378;3985316,266667;2185237,333333;1030000,000000;853000,000000;302237,333333;CT;Co;Ha;18;
CT_Co_Ha_24;13550869,600000;0,242000;92,983261;93,070943;3585412,200000;2626881,000000;1447500,000000;892700,000000;286681,000000;CT;Co;Ha;24;
CT_Co_Ha_36;26801681,000000;0,227000;92,470033;92,525439;3780621,600000;4629670,333333;3030000,000000;1304100,000000;295570,333333;CT;Co;Ha;36;
CT_Co_Ra_18;5847133,800000;0,038000;95,774147;95,803014;2090398,133333;1417923,333333;820000,000000;353466,666667;244456,666667;CT;Co;Ra;18;
CT_Co_Ra_24;9510067,600000;0,081000;94,351260;94,303608;2762987,400000;1473728,000000;783750,000000;463300,000000;226678,000000;CT;Co;Ra;24;
CT_Co_Ra_36;18132504,200000;0,199000;93,283640;93,303237;3661568,133333;1971946,333333;1122500,000000;589433,333333;260013,000000;CT;Co;Ra;36;
CT_Wa_Ba_18;8445898,600000;0,116000;94,836535;94,949861;2748176,266667;2297835,333333;1305000,000000;730600,000000;262235,333333;CT;Wa;Ba;18;
CT_Wa_Ba_24;11166117,600000;0,086000;94,592154;94,642605;3062876,400000;2076763,000000;1162500,000000;654250,000000;260013,000000;CT;Wa;Ba;24;
CT_Wa_Ba_36;24476352,600000;0,146000;91,020599;91,064570;5082739,466667;2397813,666667;1382500,000000;741966,666667;273347,000000;CT;Wa;Ba;36;
CT_Wa_Eq_18;7850577,400000;0,052000;95,310068;95,286883;2647478,400000;2039390,000000;1270000,000000;524933,333333;244456,666667;CT;Wa;Eq;18;
CT_Wa_Eq_24;10980491,800000;0,078000;93,824915;93,874134;3208541,800000;1808528,500000;941250,000000;630600,000000;236678,500000;CT;Wa;Eq;24;
CT_Wa_Eq_36;21760216,600000;0,149000;92,450345;92,449872;4391311,600000;2334013,000000;1340000,000000;734000,000000;260013,000000;CT;Wa;Eq;36;
CT_Wa_Ha_18;10760023,400000;0,058000;93,289043;93,275510;3501391,733333;3086592,666667;1755000,000000;1033800,000000;297792,666667;CT;Wa;Ha;18;
CT_Wa_Ha_24;14584944,800000;0,076000;92,062977;92,179896;4094963,400000;2586199,000000;1500000,000000;772850,000000;313349,000000;CT;Wa;Ha;24;
CT_Wa_Ha_36;26592524,800000;0,118000;92,642467;92,761009;3664410,266667;4686961,333333;3005000,000000;1344166,666667;337794,666667;CT;Wa;Ha;36;
CT_Wa_Ra_18;5675266,800000;0,037000;96,250042;96,246156;1908153,066667;1500856,000000;940000,000000;329733,333333;231122,666667;CT;Wa;Ra;18;
CT_Wa_Ra_24;7962146,600000;0,071000;94,904330;94,925193;2188537,600000;1360045,500000;693750,000000;422950,000000;243345,500000;CT;Wa;Ra;24;
CT_Wa_Ra_36;20195310,400000;0,113000;92,129930;92,186761;4297308,533333;1877946,666667;1027500,000000;583766,666667;266680,000000;CT;Wa;Ra;36;
NF_Bi_Ba_18;8299823,400000;0,046000;95,873997;95,866250;2327954,400000;2577370,000000;1340000,000000;948466,666667;288903,333333;NF;Bi;Ba;18;
NF_Bi_Ba_24;10433137,600000;0,060000;95,427978;95,420402;2508336,400000;2284214,000000;1125000,000000;879200,000000;280014,000000;NF;Bi;Ba;24;
NF_Bi_Ba_36;18548179,600000;0,210000;94,802525;94,848237;2737928,000000;2889636,666667;1400000,000000;1200733,333333;288903,333333;NF;Bi;Ba;36;
NF_Bi_Eq_18;7608049,200000;0,050000;95,587115;95,621357;2495710,400000;2091590,666667;1080000,000000;753800,000000;257790,666667;NF;Bi;Eq;18;
NF_Bi_Eq_24;11532184,200000;0,083000;95,164433;95,163663;2601510,800000;2534229,500000;1305000,000000;972550,000000;256679,500000;NF;Bi;Eq;24;
NF_Bi_Eq_36;18272895,400000;0,145000;94,770129;94,800927;2986300,533333;2573046,333333;1280000,000000;1033033,333333;260013,000000;NF;Bi;Eq;36;
NF_Bi_Ha_18;9957800,600000;0,038000;93,521914;93,549534;3366571,733333;2608282,000000;1100000,000000;1201600,000000;306682,000000;NF;Bi;Ha;18;
NF_Bi_Ha_24;12634401,400000;0,069000;94,420906;94,380549;2886538,600000;2877198,500000;1410000,000000;1163850,000000;303348,500000;NF;Bi;Ha;24;
NF_Bi_Ha_36;25507032,800000;0,892000;93,746171;93,742005;3204746,800000;4560693,333333;2650000,000000;1599566,666667;311126,666667;NF;Bi;Ha;36;
NF_Bi_Ra_18;5945458,600000;0,061000;96,131685;96,212263;1749396,800000;1720634,000000;855000,000000;630066,666667;235567,333333;NF;Bi;Ra;18;
NF_Bi_Ra_24;8868635,400000;0,073000;96,017471;96,019129;1892187,200000;2080111,500000;1110000,000000;740100,000000;230011,500000;NF;Bi;Ra;24;
NF_Bi_Ra_36;16506597,200000;0,143000;94,863974;94,907553;2525849,466667;2499269,333333;1210000,000000;1013700,000000;275569,333333;NF;Bi;Ra;36;
NF_Co_Ba_18;6615031,000000;0,051000;96,158031;96,261884;1918791,200000;2179146,000000;960000,000000;965800,000000;253346,000000;NF;Co;Ba;18;
NF_Co_Ba_24;9764156,400000;0,089000;96,213246;96,190490;2110974,600000;2363596,000000;877500,000000;1232750,000000;253346,000000;NF;Co;Ba;24;
NF_Co_Ba_36;15864384,000000;0,177000;95,876919;95,904675;1925039,866667;3123348,000000;1262500,000000;1567500,000000;293348,000000;NF;Co;Ba;36;
NF_Co_Eq_18;7127992,400000;0,052000;95,476546;95,588978;2079103,733333;2297345,333333;855000,000000;1202333,333333;240012,000000;NF;Co;Eq;18;
NF_Co_Eq_24;9106872,400000;0,098000;96,106425;96,130090;1708459,000000;2537079,000000;1226250,000000;1064150,000000;246679,000000;NF;Co;Eq;24;
NF_Co_Eq_36;12995886,400000;0,210000;96,688715;96,686616;1654909,866667;2463234,666667;1122500,000000;1091833,333333;248901,333333;NF;Co;Eq;36;
NF_Co_Ha_18;8466581,400000;0,052000;95,769985;95,790804;2190753,600000;3081615,333333;1185000,000000;1589933,333333;306682,000000;NF;Co;Ha;18;
NF_Co_Ha_24;11040405,600000;0,076000;95,961979;95,960013;2070970,400000;3111064,000000;1241250,000000;1589800,000000;280014,000000;NF;Co;Ha;24;
NF_Co_Ha_36;17131951,600000;0,132000;95,874537;95,890166;2075142,800000;3363382,000000;1322500,000000;1734200,000000;306682,000000;NF;Co;Ha;36;
NF_Co_Ra_18;5315312,800000;0,054000;96,143514;96,237883;1491504,533333;1828698,666667;905000,000000;728133,333333;195565,333333;NF;Co;Ra;18;
NF_Co_Ra_24;6680251,800000;0,066000;96,616733;96,629919;1340948,800000;1768493,500000;810000,000000;755150,000000;203343,500000;NF;Co;Ra;24;
NF_Co_Ra_36;12739836,400000;0,202000;96,103903;96,090268;1648522,000000;2375568,000000;1070000,000000;1056666,666667;248901,333333;NF;Co;Ra;36;
NF_Wa_Ba_18;6834702,600000;0,048000;96,281758;96,341008;1964456,266667;2063968,666667;700000,000000;1101733,333333;262235,333333;NF;Wa;Ba;18;
NF_Wa_Ba_24;10261159,400000;0,096000;96,198591;96,196558;1845972,200000;2964863,500000;1278750,000000;1416100,000000;270013,500000;NF;Wa;Ba;24;
NF_Wa_Ba_36;14090931,200000;0,249000;96,497918;96,557361;1707591,600000;2684412,666667;1175000,000000;1256066,666667;253346,000000;NF;Wa;Ba;36;
NF_Wa_Eq_18;6459606,800000;0,058000;96,708475;96,771935;1543261,600000;2398412,000000;1235000,000000;923400,000000;240012,000000;NF;Wa;Eq;18;
NF_Wa_Eq_24;9869202,600000;0,081000;96,088116;96,104579;2034421,000000;2478994,500000;1057500,000000;1198150,000000;223344,500000;NF;Wa;Eq;24;
NF_Wa_Eq_36;16236153,600000;0,234000;95,750814;95,732521;2034842,133333;3006646,666667;1200000,000000;1539966,666667;266680,000000;NF;Wa;Eq;36;
NF_Wa_Ha_18;8923201,400000;0,057000;95,543692;95,614217;2276292,000000;3289416,666667;1220000,000000;1736066,666667;333350,000000;NF;Wa;Ha;18;
NF_Wa_Ha_24;11097206,200000;0,123000;96,133738;96,151925;1972723,000000;3238331,500000;1447500,000000;1494150,000000;296681,500000;NF;Wa;Ha;24;
NF_Wa_Ha_36;16689005,800000;0,248000;95,854504;95,877023;2070625,200000;3225381,000000;1220000,000000;1718700,000000;286681,000000;NF;Wa;Ha;36;
NF_Wa_Ra_18;5323065,600000;0,054000;96,905860;96,895344;1499280,800000;1661988,000000;750000,000000;707533,333333;204454,666667;NF;Wa;Ra;18;
NF_Wa_Ra_24;7420607,400000;0,063000;95,771257;95,793935;1604432,600000;1798744,500000;693750,000000;881650,000000;223344,500000;NF;Wa;Ra;24;
NF_Wa_Ra_36;13620462,400000;0,303000;95,914300;95,930060;1772227,600000;2382856,666667;1010000,000000;1128400,000000;244456,666667;NF;Wa;Ra;36;
NO_No_Ba_18;8262775,200000;0,056000;95,070538;95,104648;2811754,400000;2109190,666667;1150000,000000;701400,000000;257790,666667;NO;No;Ba;18;
NO_No_Ba_24;13736047,000000;0,077000;93,002927;93,001992;4063523,000000;2340131,500000;1357500,000000;685950,000000;296681,500000;NO;No;Ba;24;
NO_No_Ba_36;25321910,600000;0,256000;91,064502;91,078817;5110131,333333;2675936,333333;1607500,000000;786200,000000;282236,333333;NO;No;Ba;36;
NO_No_Eq_18;6581723,200000;0,045000;95,622621;95,656117;2493600,000000;1443657,333333;735000,000000;450866,666667;257790,666667;NO;No;Eq;18;
