Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Ba_2SS_Cr_10_150;27562965,951566;0,076000;93,667003;93,721538;5973014,286573;5270781,142857;3107142,857143;1778857,142857;384781,142857;Ba;2SS;Cr;10;150;
Ba_2SS_Cr_10_200;34718207,024628;0,057000;94,102337;94,213404;7290649,556787;6938863,428571;3972857,142857;2459314,285714;506692,000000;Ba;2SS;Cr;10;200;
Ba_2SS_Cr_10_80;11518794,392914;0,046000;95,369002;95,455035;2197891,213046;2864259,428571;1718571,428571;909485,714286;236202,285714;Ba;2SS;Cr;10;80;
Ba_2SS_Cr_15_120;20680154,984512;0,067000;93,659113;93,714859;4598702,926225;4339100,571429;2584285,714286;1457657,142857;297157,714286;Ba;2SS;Cr;15;120;
Ba_2SS_Cr_15_150;29026581,585986;0,054000;93,271500;93,258612;6340160,065397;5550990,285714;3402857,142857;1770971,428571;377161,714286;Ba;2SS;Cr;15;150;
Ba_2SS_Cr_15_200;34308152,686726;0,063000;95,364710;95,195490;5620964,223637;10820749,714286;6381428,571429;3921200,000000;518121,142857;Ba;2SS;Cr;15;200;
Ba_2SS_Cr_15_80;13183663,778698;0,082000;94,626852;94,785205;2602627,246303;2930353,142857;1791428,571429;933200,000000;205724,571429;Ba;2SS;Cr;15;80;
Ba_2SS_Cr_5_120;21720482,332974;0,078000;94,108158;94,140215;4420723,312901;4566930,857143;2747142,857143;1488342,857143;331445,142857;Ba;2SS;Cr;5;120;
Ba_2SS_Cr_5_150;26964927,551366;0,058000;93,759295;93,869944;5696127,729289;5108914,857143;2974285,714286;1742228,571429;392400,571429;Ba;2SS;Cr;5;150;
Ba_2SS_Cr_5_200;30970936,481450;0,065000;94,850620;94,936123;6346573,241362;6242425,142857;3424285,714286;2315257,142857;502882,285714;Ba;2SS;Cr;5;200;
Ba_2SS_Cr_5_80;13333019,560572;0,058000;94,079578;94,028769;2836320,765642;2978354,285714;1838571,428571;911200,000000;228582,857143;Ba;2SS;Cr;5;80;
Ba_2SS_CT_10_120;20865593,332828;0,067000;94,209950;94,286726;4228731,571559;4562266,857143;2687142,857143;1490342,857143;384781,142857;Ba;2SS;CT;10;120;
Ba_2SS_CT_10_150;25320531,343988;0,057000;94,338068;94,374353;5299323,594139;5405602,857143;3240000,000000;1727485,714286;438117,142857;Ba;2SS;CT;10;150;
Ba_2SS_CT_10_200;34772509,225994;0,093000;95,305018;95,302240;5395655,765319;10466618,285714;6514285,714286;3396114,285714;556218,285714;Ba;2SS;CT;10;200;
Ba_2SS_CT_10_80;11422312,757206;0,072000;95,370541;95,397475;2213244,430967;2933500,000000;1748571,428571;899200,000000;285728,571429;Ba;2SS;CT;10;80;
Ba_2SS_CT_15_120;22808864,167050;0,054000;93,686043;93,772218;4748608,587896;4555638,857143;2747142,857143;1412285,714286;396210,285714;Ba;2SS;CT;15;120;
Ba_2SS_CT_15_150;22824862,383546;0,062000;94,678772;94,707672;4825664,941199;5132783,428571;2854285,714286;1848000,000000;430497,714286;Ba;2SS;CT;15;150;
Ba_2SS_CT_15_200;33741813,646490;0,077000;95,504727;95,401886;5153353,536191;11128085,142857;6677142,857143;3890914,285714;560028,000000;Ba;2SS;CT;15;200;
Ba_2SS_CT_15_80;15528804,890386;0,061000;92,929024;92,924324;3454720,556127;2981062,285714;1778571,428571;909142,857143;293348,000000;Ba;2SS;CT;15;80;
Ba_2SS_CT_5_120;20222331,998754;0,064000;94,251403;94,268323;4267488,788785;4339142,857143;2524285,714286;1433885,714286;380971,428571;Ba;2SS;CT;5;120;
Ba_2SS_CT_5_150;27416017,040084;0,094000;93,339493;93,389291;6062571,891327;5642441,142857;3402857,142857;1797657,142857;441926,857143;Ba;2SS;CT;5;150;
Ba_2SS_CT_5_200;33969452,799066;0,088000;95,490470;95,324356;5243727,714649;11265210,285714;6754285,714286;3924228,571429;586696,000000;Ba;2SS;CT;5;200;
Ba_2SS_CT_5_80;14133405,638426;0,052000;94,703931;94,871615;2562652,973618;3198778,285714;1971428,571429;899714,285714;327635,428571;Ba;2SS;CT;5;80;
Ba_2SS_NF_10_120;16796271,421950;0,059000;95,120978;95,014295;3481641,603504;5097864,571429;2391428,571429;2367371,428571;339064,571429;Ba;2SS;NF;10;120;
Ba_2SS_NF_10_150;18509950,026048;0,183000;96,211839;96,174473;3219894,568184;5943829,714286;2824285,714286;2715714,285714;403829,714286;Ba;2SS;NF;10;150;
