Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Turbines;Dur;Vessels;Percent;Size
Eq_Ye_CT_15_120;7549283,327966;0,022000;96,767135;96,636572;2738475,884342;3047380,000000;2040000,000000;740700,000000;266680,000000;Eq;Ye;CT;15;120;
Eq_Ye_CT_15_150;11162789,386918;0,060000;96,469042;96,256977;3849891,912678;3951581,000000;2662500,000000;1002400,000000;286681,000000;Eq;Ye;CT;15;150;
Eq_Ye_CT_15_200;13974660,213306;0,034000;96,111379;95,911870;5548603,870478;3870816,000000;2460000,000000;1090800,000000;320016,000000;Eq;Ye;CT;15;200;
Eq_Ye_CT_15_80;7098287,219664;0,027000;95,557669;95,394861;2415095,356922;2596446,000000;1905000,000000;438100,000000;253346,000000;Eq;Ye;CT;15;80;
Eq_Ye_CT_5_120;5995649,407104;0,018000;97,121908;97,021873;2345183,301412;2433913,000000;1597500,000000;576400,000000;260013,000000;Eq;Ye;CT;5;120;
Eq_Ye_CT_5_150;10322863,420852;0,024000;96,738616;96,589879;3463015,063106;3773347,000000;2587500,000000;912500,000000;273347,000000;Eq;Ye;CT;5;150;
Eq_Ye_CT_5_200;13325278,419294;0,026000;96,474364;96,324995;4964700,459010;4617749,000000;3240000,000000;1064400,000000;313349,000000;Eq;Ye;CT;5;200;
Eq_Ye_CT_5_80;5676511,810250;0,027000;96,561937;96,329809;1994534,953668;2371379,000000;1672500,000000;452200,000000;246679,000000;Eq;Ye;CT;5;80;
Eq_Ye_NF_10_120;9477140,410320;0,024000;96,391321;96,226901;3114163,784412;3565643,000000;2325000,000000;1047300,000000;193343,000000;Eq;Ye;NF;10;120;
Eq_Ye_NF_10_150;10143653,039722;0,028000;96,547732;96,457776;3485258,652552;4267645,000000;2820000,000000;1214300,000000;233345,000000;Eq;Ye;NF;10;150;
Eq_Ye_NF_10_200;11998950,523466;0,036000;96,917670;96,842010;4113652,935512;4369180,000000;2902500,000000;1200000,000000;266680,000000;Eq;Ye;NF;10;200;
Eq_Ye_NF_10_80;6215721,544692;0,027000;95,526319;95,461225;2185305,349722;2298007,000000;1620000,000000;538000,000000;140007,000000;Eq;Ye;NF;10;80;
Eq_Ye_NF_15_120;6937589,594894;0,024000;97,068802;97,033727;2269619,781000;4084143,000000;2272500,000000;1618300,000000;193343,000000;Eq;Ye;NF;15;120;
Eq_Ye_NF_15_150;9498585,881568;0,025000;96,768656;96,708983;3220593,946128;4573711,000000;2482500,000000;1871200,000000;220011,000000;Eq;Ye;NF;15;150;
Eq_Ye_NF_15_200;11537416,728674;0,026000;96,455091;96,487587;4410069,520860;5231281,000000;2460000,000000;2484600,000000;286681,000000;Eq;Ye;NF;15;200;
Eq_Ye_NF_15_80;4851214,686072;0,019000;96,638479;96,545464;1703621,040870;2723007,000000;1282500,000000;1300500,000000;140007,000000;Eq;Ye;NF;15;80;
Eq_Ye_NF_5_120;7447779,183816;0,016000;96,837072;96,654459;2772779,850188;2593943,000000;1755000,000000;645600,000000;193343,000000;Eq;Ye;NF;5;120;
Eq_Ye_NF_5_150;11419706,776112;0,017000;96,112168;95,940552;4088213,509208;3540377,000000;2430000,000000;903700,000000;206677,000000;Eq;Ye;NF;5;150;
Eq_Ye_NF_5_200;11966088,416806;0,023000;96,910109;96,844704;4110040,387904;4751448,000000;3345000,000000;1113100,000000;293348,000000;Eq;Ye;NF;5;200;
Eq_Ye_NF_5_80;6306580,885432;0,020000;96,529244;96,231141;2108848,662020;2227140,000000;1620000,000000;473800,000000;133340,000000;Eq;Ye;NF;5;80;
Eq_Ye_NO_0_120;10134304,184510;0,017000;96,105306;95,747244;3720020,312538;2678246,000000;1755000,000000;669900,000000;253346,000000;Eq;Ye;NO;0;120;
Eq_Ye_NO_0_150;8011280,879080;0,018000;96,941566;96,839953;3073764,193490;3298881,000000;2197500,000000;814700,000000;286681,000000;Eq;Ye;NO;0;150;
Eq_Ye_NO_0_200;12982175,539452;0,019000;96,556284;96,454543;4709113,038012;4311683,000000;2902500,000000;1082500,000000;326683,000000;Eq;Ye;NO;0;200;
Eq_Ye_NO_0_80;7122356,440512;0,017000;96,181015;95,839125;2392114,194456;2139312,000000;1387500,000000;511800,000000;240012,000000;Eq;Ye;NO;0;80;
Eq_Ye_NT_10_120;7029426,601552;0,017000;97,037995;96,906712;2524969,539538;2371847,000000;1417500,000000;681000,000000;273347,000000;Eq;Ye;NT;10;120;
Eq_Ye_NT_10_150;10287232,784920;0,035000;96,593264;96,401654;3702616,513862;3313983,000000;1912500,000000;1074800,000000;326683,000000;Eq;Ye;NT;10;150;
Eq_Ye_NT_10_200;11717879,019358;0,026000;97,104130;97,017163;3953851,775686;4328852,000000;2617500,000000;1338000,000000;373352,000000;Eq;Ye;NT;10;200;
Eq_Ye_NT_10_80;6217395,060264;0,017000;95,812064;95,606607;2282879,701810;1750280,000000;945000,000000;538600,000000;266680,000000;Eq;Ye;NT;10;80;
Eq_Ye_NT_15_120;7053782,599144;0,024000;96,972135;96,911834;2443236,246230;3527083,000000;1417500,000000;1782900,000000;326683,000000;Eq;Ye;NT;15;120;
Eq_Ye_NT_15_150;7132956,494942;0,017000;97,105583;97,079980;2809613,706118;3696317,000000;1575000,000000;1781300,000000;340017,000000;Eq;Ye;NT;15;150;
Eq_Ye_NT_15_200;9949910,230702;0,019000;97,072402;97,006326;3910719,668190;4627618,000000;2047500,000000;2220100,000000;360018,000000;Eq;Ye;NT;15;200;
Eq_Ye_NT_15_80;4952358,292060;0,025000;96,584695;96,595325;1655012,196656;2816883,000000;1050000,000000;1440200,000000;326683,000000;Eq;Ye;NT;15;80;
Eq_Ye_NT_5_120;9280484,170202;0,022000;96,269783;95,992739;3405047,057500;3007613,000000;1987500,000000;760100,000000;260013,000000;Eq;Ye;NT;5;120;
Eq_Ye_NT_5_150;11494406,948012;0,023000;96,368579;96,220217;3842903,953294;3637181,000000;2535000,000000;815500,000000;286681,000000;Eq;Ye;NT;5;150;
Eq_Ye_NT_5_200;11725746,061724;0,026000;96,939108;96,847831;4150963,026286;3954583,000000;2565000,000000;1062900,000000;326683,000000;Eq;Ye;NT;5;200;
Eq_Ye_NT_5_80;6446695,974370;0,024000;96,720837;96,571776;1856996,621646;2739712,000000;1957500,000000;542200,000000;240012,000000;Eq;Ye;NT;5;80;
Ha_2SL_Al_10_120;15165287,172564;0,032000;93,862359;93,673427;3755872,595093;5054862,666667;1940000,000000;2750400,000000;364462,666667;Ha;2SL;Al;10;120;
Ha_2SL_Al_10_150;15665314,918678;0,042000;95,158827;95,044033;3683849,643913;5800064,666667;2515000,000000;2880600,000000;404464,666667;Ha;2SL;Al;10;150;
Ha_2SL_Al_10_200;23264599,622366;0,031000;94,392276;94,313780;5683847,942949;7720892,666667;3385000,000000;3815866,666667;520026,000000;Ha;2SL;Al;10;200;
Ha_2SL_Al_10_80;7309235,397032;0,047000;96,381289;96,365071;1448745,952044;3147168,000000;1415000,000000;1483266,666667;248901,333333;Ha;2SL;Al;10;80;
Ha_2SL_Al_15_120;12925856,899586;0,032000;94,829488;94,727844;3138651,765291;4960951,333333;1800000,000000;2800933,333333;360018,000000;Ha;2SL;Al;15;120;
Ha_2SL_Al_15_150;17136213,435112;0,057000;94,637377;94,581395;4040285,106080;6324131,333333;2410000,000000;3509666,666667;404464,666667;Ha;2SL;Al;15;150;
Ha_2SL_Al_15_200;21992225,550398;0,046000;94,852323;94,772561;5204594,495549;8070138,000000;3490000,000000;4042333,333333;537804,666667;Ha;2SL;Al;15;200;
Ha_2SL_Al_15_80;8309831,341934;0,044000;95,589275;95,474815;1790256,916753;3471702,666667;1415000,000000;1781133,333333;275569,333333;Ha;2SL;Al;15;80;
Ha_2SL_Al_5_120;16064639,643096;0,053000;93,431379;93,462047;3967040,383016;4345750,000000;2510000,000000;1502400,000000;333350,000000;Ha;2SL;Al;5;120;
Ha_2SL_Al_5_150;20320264,484268;0,055000;93,198951;93,122985;5186449,102641;5517642,000000;3345000,000000;1777066,666667;395575,333333;Ha;2SL;Al;5;150;
Ha_2SL_Al_5_200;29613740,515090;0,034000;94,761559;94,924338;5185443,900909;10709382,000000;6870000,000000;3310466,666667;528915,333333;Ha;2SL;Al;5;200;
Ha_2SL_Al_5_80;9518638,846258;0,052000;94,073399;94,156872;2344596,348275;2932412,666667;1725000,000000;954066,666667;253346,000000;Ha;2SL;Al;5;80;
Ha_2SL_Cr_10_120;20878436,273472;0,047000;90,667747;90,598752;5688231,850069;4314016,000000;2510000,000000;1484000,000000;320016,000000;Ha;2SL;Cr;10;120;
Ha_2SL_Cr_10_150;22911189,676872;0,047000;91,990576;91,981637;6084425,102645;4949975,333333;2860000,000000;1694400,000000;395575,333333;Ha;2SL;Cr;10;150;
Ha_2SL_Cr_10_200;25555994,623704;0,053000;93,602816;93,566220;6502514,102092;6530424,666667;3730000,000000;2307066,666667;493358,000000;Ha;2SL;Cr;10;200;
Ha_2SL_Cr_10_80;12418037,412712;0,042000;92,635185;92,777840;2932665,294049;3201257,333333;1950000,000000;993466,666667;257790,666667;Ha;2SL;Cr;10;80;
Ha_2SL_Cr_15_120;17014598,906316;0,043000;92,501620;92,465301;4557571,543643;3994038,666667;2320000,000000;1345133,333333;328905,333333;Ha;2SL;Cr;15;120;
Ha_2SL_Cr_15_150;20468982,746560;0,044000;93,299239;93,301921;5091103,104755;5192841,333333;3050000,000000;1760600,000000;382241,333333;Ha;2SL;Cr;15;150;
Ha_2SL_Cr_15_200;28875104,388304;0,046000;92,558997;92,512690;7565013,940735;6890002,666667;3990000,000000;2402200,000000;497802,666667;Ha;2SL;Cr;15;200;
Ha_2SL_Cr_15_80;12199526,899276;0,045000;91,935764;91,899073;3252598,237505;2960210,666667;1830000,000000;916866,666667;213344,000000;Ha;2SL;Cr;15;80;
Ha_2SL_Cr_5_120;16044998,420258;0,049000;93,007845;93,001231;4223694,178756;4025016,000000;2320000,000000;1385000,000000;320016,000000;Ha;2SL;Cr;5;120;
Ha_2SL_Cr_5_150;21986892,425146;0,054000;92,944208;92,996537;5327281,235416;5596976,000000;3310000,000000;1878066,666667;408909,333333;Ha;2SL;Cr;5;150;
Ha_2SL_Cr_5_200;27350941,709182;0,065000;93,325864;93,236944;6872872,857473;6637269,333333;3765000,000000;2374466,666667;497802,666667;Ha;2SL;Cr;5;200;
Ha_2SL_Cr_5_80;12118069,872068;0,046000;93,139005;93,214013;2748577,815304;3235436,000000;1985000,000000;974866,666667;275569,333333;Ha;2SL;Cr;5;80;
Ha_2SL_CT_10_120;14518415,721434;0,053000;93,900643;93,810008;3743193,824237;3843908,000000;2145000,000000;1316666,666667;382241,333333;Ha;2SL;CT;10;120;
Ha_2SL_CT_10_150;19942480,819878;0,048000;93,470175;93,403635;4988366,408621;5475844,000000;3275000,000000;1765266,666667;435577,333333;Ha;2SL;CT;10;150;
Ha_2SL_CT_10_200;28834164,725536;0,060000;92,851049;92,861779;7231583,956336;6962025,333333;4075000,000000;2380333,333333;506692,000000;Ha;2SL;CT;10;200;
Ha_2SL_CT_10_80;9970121,994040;0,045000;94,703318;94,857676;2106032,719632;2982105,333333;1760000,000000;893200,000000;328905,333333;Ha;2SL;CT;10;80;
Ha_2SL_CT_15_120;15093760,980222;0,058000;93,724138;93,767772;3775932,745388;3930596,666667;2145000,000000;1407800,000000;377796,666667;Ha;2SL;CT;15;120;
Ha_2SL_CT_15_150;23363691,677414;0,045000;92,147521;92,150716;5955700,006904;5509910,666667;3275000,000000;1799333,333333;435577,333333;Ha;2SL;CT;15;150;
Ha_2SL_CT_15_200;28639223,154134;0,059000;92,399182;92,372738;7701734,500968;6825092,666667;3800000,000000;2505066,666667;520026,000000;Ha;2SL;CT;15;200;
Ha_2SL_CT_15_80;13950110,717848;0,046000;90,863773;90,769581;3728449,203991;3066328,000000;1795000,000000;933533,333333;337794,666667;Ha;2SL;CT;15;80;
Ha_2SL_CT_5_120;18559766,420526;0,051000;91,968274;91,859013;4921715,315719;4246797,333333;2510000,000000;1345666,666667;391130,666667;Ha;2SL;CT;5;120;
Ha_2SL_CT_5_150;23604330,126364;0,049000;92,012058;91,960164;6084922,865249;5605044,000000;3345000,000000;1824466,666667;435577,333333;Ha;2SL;CT;5;150;
Ha_2SL_CT_5_200;28267464,305778;0,045000;93,058981;93,134172;6961834,202279;7133626,000000;4250000,000000;2363600,000000;520026,000000;Ha;2SL;CT;5;200;
Ha_2SL_CT_5_80;12258120,046510;0,044000;92,449846;92,430791;3062704,569221;3082728,000000;1760000,000000;984933,333333;337794,666667;Ha;2SL;CT;5;80;
Ha_2SL_NF_10_120;14749132,029724;0,077000;94,614056;94,432753;3300155,771941;5711840,000000;2750000,000000;2606266,666667;355573,333333;Ha;2SL;NF;10;120;
Ha_2SL_NF_10_150;17678558,027610;0,047000;94,868868;94,764408;3914507,653553;6438820,000000;3155000,000000;2883800,000000;400020,000000;Ha;2SL;NF;10;150;
Ha_2SL_NF_10_200;23384387,532984;0,055000;94,543603;94,463705;5499331,600733;8204092,000000;3800000,000000;3897400,000000;506692,000000;Ha;2SL;NF;10;200;
Ha_2SL_NF_10_80;9047942,263428;0,040000;95,355710;95,163218;1916901,582991;3587391,333333;1570000,000000;1746266,666667;271124,666667;Ha;2SL;NF;10;80;
Ha_2SL_NF_15_120;13160538,415944;0,053000;95,364223;95,427176;2738291,945209;5498061,333333;2335000,000000;2825266,666667;337794,666667;Ha;2SL;NF;15;120;
Ha_2SL_NF_15_150;16611490,451542;0,059000;95,129856;95,125878;3631813,635852;6395464,666667;2790000,000000;3201000,000000;404464,666667;Ha;2SL;NF;15;150;
Ha_2SL_NF_15_200;20501581,839884;0,063000;95,672330;95,593887;4372989,535200;8425692,666667;3920000,000000;3985666,666667;520026,000000;Ha;2SL;NF;15;200;
Ha_2SL_NF_15_80;8548022,243552;0,042000;95,771856;95,792914;1662427,197261;3828680,000000;1760000,000000;1802000,000000;266680,000000;Ha;2SL;NF;15;80;
Ha_2SL_NF_5_120;15734034,631550;0,043000;93,810172;93,867824;3732440,386159;4328861,333333;2580000,000000;1411066,666667;337794,666667;Ha;2SL;NF;5;120;
Ha_2SL_NF_5_150;18968917,028044;0,049000;93,504609;93,507088;4898150,890224;5081153,333333;2930000,000000;1751133,333333;400020,000000;Ha;2SL;NF;5;150;
Ha_2SL_NF_5_200;28281686,441234;0,053000;92,869606;92,850836;7220877,641308;7097470,000000;4285000,000000;2301333,333333;511136,666667;Ha;2SL;NF;5;200;
Ha_2SL_NF_5_80;13674916,680510;0,040000;90,876350;90,760757;3708519,792749;3195192,000000;1950000,000000;960733,333333;284458,666667;Ha;2SL;NF;5;80;
Ha_2SL_NO_0_120;17592110,839760;0,058000;92,350129;92,398284;4604330,085305;4086685,333333;2320000,000000;1393333,333333;373352,000000;Ha;2SL;NO;0;120;
Ha_2SL_NO_0_150;19113265,698396;0,045000;93,891564;93,919575;4613862,968137;5100132,666667;3000000,000000;1669000,000000;431132,666667;Ha;2SL;NO;0;150;
Ha_2SL_NO_0_200;29254923,103560;0,073000;92,444236;92,391020;7681717,496528;7016336,666667;4130000,000000;2375200,000000;511136,666667;Ha;2SL;NO;0;200;
Ha_2SL_NO_0_80;15009388,919500;0,055000;89,697704;89,689831;4161889,400080;3145994,666667;1830000,000000;978200,000000;337794,666667;Ha;2SL;NO;0;80;
Ha_2SL_NT_10_120;12477031,111022;0,035000;95,354321;95,235507;2836504,228493;4559644,000000;1715000,000000;2409066,666667;435577,333333;Ha;2SL;NT;10;120;
Ha_2SL_NT_10_150;16096166,424330;0,050000;95,492747;95,436581;3404579,798300;5949469,333333;2550000,000000;2901666,666667;497802,666667;Ha;2SL;NT;10;150;
Ha_2SL_NT_10_200;23006027,979960;0,044000;94,958341;94,914408;5074767,491540;8269473,333333;3800000,000000;3891666,666667;577806,666667;Ha;2SL;NT;10;200;
Ha_2SL_NT_10_80;9055087,472808;0,044000;94,816416;94,695475;2097645,700235;3358819,333333;1190000,000000;1782133,333333;386686,000000;Ha;2SL;NT;10;80;
Ha_2SL_NT_15_120;12786340,260450;0,052000;95,186510;95,052719;2948217,530800;4964866,666667;2025000,000000;2495400,000000;444466,666667;Ha;2SL;NT;15;120;
Ha_2SL_NT_15_150;15514197,703954;0,048000;95,275967;95,187010;3596108,737843;6070536,000000;2550000,000000;3022733,333333;497802,666667;Ha;2SL;NT;15;150;
Ha_2SL_NT_15_200;22626137,202374;0,034000;94,296427;94,278604;5689565,613811;7535562,000000;2885000,000000;4077200,000000;573362,000000;Ha;2SL;NT;15;200;
Ha_2SL_NT_15_80;8227704,919792;0,043000;95,787558;95,728283;1704980,457972;3589064,666667;1415000,000000;1769600,000000;404464,666667;Ha;2SL;NT;15;80;
Ha_2SL_NT_5_120;18843218,679322;0,047000;91,409542;91,265136;5267308,459621;4235574,666667;2545000,000000;1308333,333333;382241,333333;Ha;2SL;NT;5;120;
Ha_2SL_NT_5_150;22195160,993932;0,057000;92,489290;92,338305;5782900,519852;5508910,000000;3310000,000000;1776666,666667;422243,333333;Ha;2SL;NT;5;150;
Ha_2SL_NT_5_200;29493172,393004;0,056000;92,696574;92,728653;7357743,343401;7162892,666667;4110000,000000;2532866,666667;520026,000000;Ha;2SL;NT;5;200;
Ha_2SL_NT_5_80;13008723,106812;0,048000;92,606867;92,631313;3000475,599027;3276105,333333;1950000,000000;997200,000000;328905,333333;Ha;2SL;NT;5;80;
Ha_2SS_Al_10_120;16903488,665346;0,082000;94,431305;94,318486;3488923,955617;4924529,714286;2112857,142857;2503085,714286;308586,857143;Ha;2SS;Al;10;120;
Ha_2SS_Al_10_150;21785059,165680;0,056000;93,885961;93,889862;4702550,654312;5954076,571429;2442857,142857;3122628,571429;388590,857143;Ha;2SS;Al;10;150;
Ha_2SS_Al_10_200;27484044,656180;0,095000;94,018829;93,983309;6171894,990657;7446845,142857;2940000,000000;3984914,285714;521930,857143;Ha;2SS;Al;10;200;
Ha_2SS_Al_10_80;9465515,974552;0,039000;95,847470;95,708617;1758903,070994;3027612,000000;1260000,000000;1527600,000000;240012,000000;Ha;2SS;Al;10;80;
Ha_2SS_Al_15_120;13727215,051434;0,056000;96,095337;96,012353;2471534,312690;5106720,571429;2052857,142857;2737657,142857;316206,285714;Ha;2SS;Al;15;120;
Ha_2SS_Al_15_150;18248288,018344;0,054000;95,731067;95,644576;3372591,779248;6593238,857143;2635714,285714;3561314,285714;396210,285714;Ha;2SS;Al;15;150;
Ha_2SS_Al_15_200;26107563,540432;0,069000;94,788611;94,689962;5467880,560241;8120330,285714;2880000,000000;4729828,571429;510501,714286;Ha;2SS;Al;15;200;
Ha_2SS_Al_15_80;9221457,845936;0,064000;95,929861;95,820396;1706155,675696;3362145,142857;1290000,000000;1835942,857143;236202,285714;Ha;2SS;Al;15;80;
Ha_2SS_Al_5_120;21698311,228704;0,058000;91,705203;91,804237;5115771,790694;4292281,142857;2764285,714286;1238457,142857;289538,285714;Ha;2SS;Al;5;120;
Ha_2SS_Al_5_150;28446578,379570;0,058000;94,398686;94,599300;4268948,856621;8748762,285714;5798571,428571;2561600,000000;388590,857143;Ha;2SS;Al;5;150;
Ha_2SS_Al_5_200;33696224,188244;0,057000;92,524954;92,653406;7659046,296621;7111434,857143;4302857,142857;2301885,714286;506692,000000;Ha;2SS;Al;5;200;
Ha_2SS_Al_5_80;15018128,644000;0,064000;91,467692;91,531391;3540351,183107;2885497,142857;1778571,428571;878342,857143;228582,857143;Ha;2SS;Al;5;80;
Ha_2SS_Cr_10_120;19624364,423352;0,062000;92,729056;92,798870;4509254,397315;3990719,428571;2408571,428571;1288800,000000;293348,000000;Ha;2SS;Cr;10;120;
Ha_2SS_Cr_10_150;24519041,982398;0,056000;92,624718;92,558687;5778643,483091;5450208,000000;3480000,000000;1619714,285714;350493,714286;Ha;2SS;Cr;10;150;
Ha_2SS_Cr_10_200;30070076,262064;0,055000;95,428988;95,562085;4606992,977049;10298138,857143;6754285,714286;3052400,000000;491453,142857;Ha;2SS;Cr;10;200;
Ha_2SS_Cr_10_80;12588424,311338;0,070000;93,762665;93,790284;2593181,435291;3065420,000000;1941428,571429;914457,142857;209534,285714;Ha;2SS;Cr;10;80;
Ha_2SS_Cr_15_120;19916041,416660;0,063000;92,319555;92,323201;4783878,104103;4158071,428571;2584285,714286;1288057,142857;285728,571429;Ha;2SS;Cr;15;120;
Ha_2SS_Cr_15_150;25880234,934754;0,041000;92,224700;92,301150;6040167,174327;4889826,857143;2961428,571429;1581714,285714;346684,000000;Ha;2SS;Cr;15;150;
Ha_2SS_Cr_15_200;32445314,114764;0,075000;95,222507;95,321503;4885945,664760;10617053,714286;6947142,857143;3167028,571429;502882,285714;Ha;2SS;Cr;15;200;
Ha_2SS_Cr_15_80;14456120,116840;0,060000;91,693171;91,700386;3450457,384544;2940181,142857;1881428,571429;864457,142857;194295,428571;Ha;2SS;Cr;15;80;
Ha_2SS_Cr_5_120;22968589,498234;0,057000;91,009954;91,097019;5556783,583789;4411710,285714;2824285,714286;1286457,142857;300967,428571;Ha;2SS;Cr;5;120;
Ha_2SS_Cr_5_150;25966842,628892;0,056000;92,306111;92,353493;5991850,497687;5215884,571429;3214285,714286;1643485,714286;358113,142857;Ha;2SS;Cr;5;150;
Ha_2SS_Cr_5_200;35434075,090072;0,062000;94,299345;93,989547;6148558,515792;11691970,285714;6994285,714286;4149085,714286;548598,857143;Ha;2SS;Cr;5;200;
Ha_2SS_Cr_5_80;13821351,438862;0,097000;92,263261;92,298550;3195310,599777;3050088,000000;1941428,571429;872457,142857;236202,285714;Ha;2SS;Cr;5;80;
Ha_2SS_CT_10_120;21048252,670966;0,070000;91,944896;92,098653;4935299,349258;4138075,428571;2481428,571429;1290914,285714;365732,571429;Ha;2SS;CT;10;120;
Ha_2SS_CT_10_150;24474889,837716;0,053000;92,635300;92,682882;5711312,584627;5210115,428571;3257142,857143;1549142,857143;403829,714286;Ha;2SS;CT;10;150;
Ha_2SS_CT_10_200;35493019,540692;0,072000;94,412288;94,565930;5699706,088993;10730883,428571;6784285,714286;3420857,142857;525740,571429;Ha;2SS;CT;10;200;
Ha_2SS_CT_10_80;13137782,719810;0,058000;93,487087;93,603477;2684847,539735;3114701,714286;1911428,571429;883257,142857;320016,000000;Ha;2SS;CT;10;80;
Ha_2SS_CT_15_120;25128622,776236;0,092000;93,241986;93,409035;4101594,735174;7804742,857143;5095714,285714;2328057,142857;380971,428571;Ha;2SS;CT;15;120;
Ha_2SS_CT_15_150;24701680,074116;0,074000;92,552169;92,538567;5818218,306875;5161238,857143;3124285,714286;1640742,857143;396210,285714;Ha;2SS;CT;15;150;
Ha_2SS_CT_15_200;34668428,800964;0,253000;94,254484;94,378444;5872733,678825;9931892,571429;6265714,285714;3148057,142857;518121,142857;Ha;2SS;CT;15;200;
Ha_2SS_CT_15_80;14698843,771622;0,053000;91,559606;91,597589;3484044,468477;3233710,857143;2074285,714286;847028,571429;312396,571429;Ha;2SS;CT;15;80;
Ha_2SS_CT_5_120;21323238,799508;0,067000;92,075243;92,081826;4936668,512750;4686380,000000;2927142,857143;1397314,285714;361922,857143;Ha;2SS;CT;5;120;
Ha_2SS_CT_5_150;26768256,669694;0,061000;94,984189;95,051175;3874603,027174;9072821,142857;6214285,714286;2435657,142857;422878,285714;Ha;2SS;CT;5;150;
Ha_2SS_CT_5_200;32741819,509276;0,067000;95,010860;95,097326;5114063,782290;10642122,285714;6814285,714286;3286857,142857;540979,428571;Ha;2SS;CT;5;200;
Ha_2SS_CT_5_80;16055129,366966;0,066000;90,556200;90,628052;3884230,145133;3209558,285714;2001428,571429;899542,857143;308586,857143;Ha;2SS;CT;5;80;
Ha_2SS_NF_10_120;16742748,211876;0,066000;94,569433;94,499880;3377990,694424;5008244,000000;2348571,428571;2351085,714286;308586,857143;Ha;2SS;NF;10;120;
Ha_2SS_NF_10_150;20768021,661178;0,091000;95,058395;95,068544;3786815,656720;7037028,571429;3390000,000000;3266057,142857;380971,428571;Ha;2SS;NF;10;150;
Ha_2SS_NF_10_200;30407743,088066;0,094000;94,265893;94,236948;5977344,674142;8590158,857143;4242857,142857;3836800,000000;510501,714286;Ha;2SS;NF;10;200;
Ha_2SS_NF_10_80;13925617,354334;0,052000;93,351885;93,192266;2769957,062553;4215230,285714;1941428,571429;2049028,571429;224773,142857;Ha;2SS;NF;10;80;
Ha_2SS_NF_15_120;14329978,241258;0,075000;96,100694;96,021688;2451350,306609;5269615,428571;2554285,714286;2406742,857143;308586,857143;Ha;2SS;NF;15;120;
Ha_2SS_NF_15_150;18865840,033472;0,082000;95,765908;95,697589;3295061,685717;6731047,428571;3034285,714286;3319600,000000;377161,714286;Ha;2SS;NF;15;150;
Ha_2SS_NF_15_200;27049167,156048;0,072000;94,887771;94,800433;5305906,541206;8836558,285714;3917142,857143;4420342,857143;499072,571429;Ha;2SS;NF;15;200;
Ha_2SS_NF_15_80;10232478,197022;0,048000;95,728175;95,758324;1726343,789123;3905573,714286;1748571,428571;1920800,000000;236202,285714;Ha;2SS;NF;15;80;
Ha_2SS_NF_5_120;22519223,665290;0,064000;91,939539;92,033669;5005777,899095;4569633,714286;2970000,000000;1306285,714286;293348,000000;Ha;2SS;NF;5;120;
Ha_2SS_NF_5_150;26020129,638998;0,077000;92,181931;92,248990;6044949,675939;5319999,428571;3257142,857143;1693314,285714;369542,285714;Ha;2SS;NF;5;150;
Ha_2SS_NF_5_200;34218984,371958;0,194000;94,401171;94,537337;5680452,210809;10561111,428571;6784285,714286;3262514,285714;514311,428571;Ha;2SS;NF;5;200;
Ha_2SS_NF_5_80;16585056,828214;0,067000;90,919544;91,063478;3754423,241110;3022773,714286;1911428,571429;875142,857143;236202,285714;Ha;2SS;NF;5;80;
Ha_2SS_NO_0_120;19854399,013974;0,064000;92,875827;92,942846;4411770,360582;4527046,285714;2824285,714286;1348457,142857;354303,428571;Ha;2SS;NO;0;120;
Ha_2SS_NO_0_150;23047671,607316;0,067000;93,167363;93,174941;5307971,476291;5168267,428571;3124285,714286;1647771,428571;396210,285714;Ha;2SS;NO;0;150;
Ha_2SS_NO_0_200;34240169,491154;0,072000;94,927804;95,060575;5192629,992123;10749988,571429;6844285,714286;3372342,857143;533360,000000;Ha;2SS;NO;0;200;
Ha_2SS_NO_0_80;15993672,096166;0,058000;90,651174;90,710288;3846564,186967;3331501,714286;2134285,714286;877200,000000;320016,000000;Ha;2SS;NO;0;80;
Ha_2SS_NT_10_120;19194506,513104;0,042000;93,256834;93,136954;4224635,542944;5193621,714286;2082857,142857;2676457,142857;434307,428571;Ha;2SS;NT;10;120;
Ha_2SS_NT_10_150;26006275,722374;0,178000;95,405265;95,202338;3681029,656742;9491910,285714;4924285,714286;4076171,428571;491453,142857;Ha;2SS;NT;10;150;
Ha_2SS_NT_10_200;24751637,244170;0,042000;95,430549;95,398931;4745933,413312;7607037,714286;3265714,285714;3777485,714286;563837,714286;Ha;2SS;NT;10;200;
Ha_2SS_NT_10_80;10898905,440508;0,058000;94,809127;94,557971;2214022,023854;3578953,142857;1452857,142857;1729885,714286;396210,285714;Ha;2SS;NT;10;80;
Ha_2SS_NT_15_120;16382039,386724;0,065000;95,446032;95,345508;2877397,459128;5796804,571429;2022857,142857;3301542,857143;472404,571429;Ha;2SS;NT;15;120;
Ha_2SS_NT_15_150;17719197,215274;0,057000;95,894797;95,901549;3174525,823673;6356672,571429;2472857,142857;3384742,857143;499072,571429;Ha;2SS;NT;15;150;
Ha_2SS_NT_15_200;26082021,802544;0,064000;95,124464;95,037640;5074857,675966;8611437,714286;3235714,285714;4811885,714286;563837,714286;Ha;2SS;NT;15;200;
